,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Fgfr2,0.9992,0.0008000000000000229,7.13008602021168,0.00046628548,8.778361e-05,0.0,0.25,2.4432757,2.4552946,0.5982849,-0.08266926,4.503522,2.9129546,0.6883532,0.8118955512572359,0.3948623288724911,4.2815394,0.79211485,True,WT vs CCR6_KO,WT,CCR6_KO
Gm48099,0.9956,0.0043999999999999595,5.421738766888735,0.0005284776,0.00011911021,0.0,0.25,2.1901762,2.1988215,0.7650974,-1.0509682,5.6132298,3.509665,0.9017069,0.8442940038684533,0.47008152591910285,5.0655675,1.12146,True,WT vs CCR6_KO,WT,CCR6_KO
Gm19951,0.9938,0.006199999999999983,5.076985084277639,0.00084994524,0.00022010846,0.0,0.25,1.9678344,1.9748096,0.71253926,-0.982131,4.782633,5.9748254,1.7255555,0.9231141199226092,0.6562067374250337,8.65122,2.240383,True,WT vs CCR6_KO,WT,CCR6_KO
Gm21887,0.9922,0.007800000000000029,4.845799694199552,0.0001314618,2.7442422e-05,0.0,0.25,2.2660882,2.2761621,0.7425019,-1.231204,5.394183,0.91538465,0.221352,0.5053191489361635,0.1675126903553293,1.4013401,0.25783497,True,WT vs CCR6_KO,WT,CCR6_KO
Eno1,0.9898,0.010199999999999987,4.575114211938937,0.00038471547,0.00013414826,0.0,0.25,1.5313078,1.5164347,0.7497829,-3.4964638,5.7015924,2.4613106,1.1775031,0.822533849129576,0.5406860483002782,3.5896733,1.2933067,True,WT vs CCR6_KO,WT,CCR6_KO
Uba52,0.9894,0.010600000000000054,4.536243764386936,0.0006570345,0.0002936587,0.0,0.25,1.1769097,1.1426859,0.6895262,-3.5866766,5.5766935,4.5362577,2.6778636,0.9516441005802484,0.7838794031687714,6.835439,3.0700424,True,WT vs CCR6_KO,WT,CCR6_KO
Hexb,0.9888,0.011199999999999988,4.480577425658903,0.0031998951,0.0009672766,0.0,0.25,1.7583051,1.7575865,0.7311921,-1.4998007,5.2805448,23.216152,7.7859054,0.9917794970986222,0.9275496077526882,34.120296,9.776187,True,WT vs CCR6_KO,WT,CCR6_KO
Gm11808,0.9884,0.011600000000000055,4.445081524050899,0.0005300417,0.00022292708,0.0,0.25,1.2776017,1.2280693,0.75172114,-4.4065237,5.700782,3.577371,1.8724513,0.9168278529980446,0.7125057683433565,5.4652305,2.2526858,True,WT vs CCR6_KO,WT,CCR6_KO
Gm11290,0.9864,0.013599999999999945,4.28399143395216,0.00022127783,6.4091066e-05,0.0,0.25,1.859541,1.80686,0.8935333,-3.3042831,5.986871,0.7301749,0.27257398,0.1610251450676985,0.1176742039686179,1.1877556,0.38465965,True,WT vs CCR6_KO,WT,CCR6_KO
Rnaset2b,0.98,0.020000000000000018,3.8918198083148323,0.00013138403,5.4231507e-05,0.0,0.25,1.3038708,1.2912068,0.5348187,-1.3978968,3.8270378,0.87476695,0.415469,0.5493230174081155,0.31133671742809405,1.2969251,0.5343154,True,WT vs CCR6_KO,WT,CCR6_KO
